Name,Address,Source,SourceFile,image-wrapper href,photo src,place-name,address,city,material-icons,material-icons 2,info,material-icons 3,description,program-link href,program,badge 3,btn href,city 2,details,neighborhood,badge
,1136 Cotton Ave SW,Winnie,winnie (2).csv,https://winnie.com/place/growing-berries-on-the-vine-christian-dc-birmingham,https://winnie-static.imgix.net/default/daycare_56.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Growing Berries On The Vine Christian Dc,1136 Cotton Ave SW,"Birmingham, AL",maps_home_work,,,,"Growing Berries On The Vine Christian Dc is a licensed child care center offering daycare programs located at 1136 Cotton Ave SW in Arlington - West End in Birmingham, AL. Contact this provider to...",https://winnie.com/place/growing-berries-on-the-vine-christian-dc-birmingham#daycare-program,,,https://winnie.com/place/growing-berries-on-the-vine-christian-dc-birmingham#contact_form,,,Arlington - West End,6 w - 13 yr
,1304 5th Ave N,Winnie,winnie (3).csv,https://winnie.com/place/peekaboo-child-development-center-bessemer,https://winnie-static.imgix.net/default/daycare_7.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Peekaboo Child Development Center,1304 5th Ave N,"Bessemer, AL",location_on,,,,"Peekaboo Child Development Center is a licensed child care center offering daycare programs located at 1304 5th Ave N in Bessemer, AL. Contact this provider to inquire about prices and availability.",https://winnie.com/place/peekaboo-child-development-center-bessemer#daycare-program,,,https://winnie.com/place/peekaboo-child-development-center-bessemer#contact_form,Bessemer,,,3 yr - 14 yr
,6871 6th Ct S,Winnie,winnie (3).csv,https://winnie.com/place/comm-ed-south-oliver-birmingham,https://winnie-static.imgix.net/default/daycare_33.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Comm Ed South - Oliver,6871 6th Ct S,"Birmingham, AL",maps_home_work,,,,"Comm Ed South - Oliver is a license exempt child care center offering daycare programs located at 6871 6th Ct S in Oak Ridge Park in Birmingham, AL. Contact this provider to inquire about prices and...",https://winnie.com/place/comm-ed-south-oliver-birmingham#daycare-program,,,https://winnie.com/place/comm-ed-south-oliver-birmingham#contact_form,,,Oak Ridge Park,4 yr - 11 yr
,931 3rd Ave N,Winnie,winnie (3).csv,https://winnie.com/place/bundles-of-joy-daycare-child-dev-ctr-bessemer,https://winnie-static.imgix.net/default/daycare_5.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Bundles Of Joy Daycare & Child Dev. Ctr.,931 3rd Ave N,"Bessemer, AL",location_on,,,,"Bundles Of Joy Daycare & Child Dev. Ctr. is a licensed child care center offering daycare programs located at 931 3rd Ave N in Bessemer, AL. Contact this provider to inquire about prices and...",https://winnie.com/place/bundles-of-joy-daycare-child-dev-ctr-bessemer#daycare-program,,,https://winnie.com/place/bundles-of-joy-daycare-child-dev-ctr-bessemer#contact_form,Bessemer,,,6 w - 14 yr
,417 4th St N,Winnie,winnie (3).csv,https://winnie.com/place/alabama-stem-education-bessemer-2,https://winnie-static.imgix.net/default/daycare_52.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Alabama Stem Education,417 4th St N,"Bessemer, AL",location_on,,,,"Alabama Stem Education is a licensed child care center offering daycare programs located at 417 4th St N in Bessemer, AL. Contact this provider to inquire about prices and availability.",https://winnie.com/place/alabama-stem-education-bessemer-2#daycare-program,,,https://winnie.com/place/alabama-stem-education-bessemer-2#contact_form,Bessemer,,,12 mo - 24 mo
,500 Co Rd 52,Winnie,winnie (3).csv,https://winnie.com/place/pink-blue-llc-helena-2,https://winnie-static.imgix.net/default/daycare_48.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,"Pink & Blue, Llc",500 Co Rd 52,"Helena, AL",location_on,,,,"Pink & Blue, Llc is a licensed child care center offering daycare programs located at 500 Co Rd 52 in Helena, AL. Contact this provider to inquire about prices and availability.",https://winnie.com/place/pink-blue-llc-helena-2#daycare-program,,,https://winnie.com/place/pink-blue-llc-helena-2#contact_form,Helena,,,6 w - 13 yr
,2713 Ensley 5 Points W Ave,Winnie,winnie (3).csv,https://winnie.com/place/ami-first-class-pre-k-2-birmingham,https://winnie-static.imgix.net/default/daycare_5.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Ami First Class Pre-K #2,2713 Ensley 5 Points W Ave,"Birmingham, AL",maps_home_work,,,,"Ami First Class Pre-K #2 is a licensed child care center offering daycare programs located at 2713 Ensley 5 Points W Ave in Ensley Highlands in Birmingham, AL. Contact this provider to inquire about...",https://winnie.com/place/ami-first-class-pre-k-2-birmingham#daycare-program,,,https://winnie.com/place/ami-first-class-pre-k-2-birmingham#contact_form,,,Ensley Highlands,24 mo - 4 yr 11 mo
,519 4th Ave SW,Winnie,winnie (3).csv,https://winnie.com/place/ms-kims-kids-pre-and-lrn-ctr-llc-bessemer,https://winnie-static.imgix.net/default/daycare_27.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,"Ms. Kim's Kids Pre. And Lrn. Ctr, Llc",519 4th Ave SW,"Bessemer, AL",location_on,,,,"Ms. Kim's Kids Pre. And Lrn. Ctr, Llc is a licensed child care center offering daycare programs located at 519 4th Ave SW in Bessemer, AL. Contact this provider to inquire about prices and...",https://winnie.com/place/ms-kims-kids-pre-and-lrn-ctr-llc-bessemer#daycare-program,,,https://winnie.com/place/ms-kims-kids-pre-and-lrn-ctr-llc-bessemer#contact_form,Bessemer,,,1 mo - 14 yr
,1425 2nd Ave W,Winnie,winnie (3).csv,https://winnie.com/place/west-end-comm-sch-princeton-birmingham,https://winnie-static.imgix.net/default/daycare_49.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,West End Comm Sch - Princeton,1425 2nd Ave W,"Birmingham, AL",maps_home_work,,,,"West End Comm Sch - Princeton is a license exempt child care center offering daycare programs located at 1425 2nd Ave W in Rising - West Princeton in Birmingham, AL. Contact this provider to inquire...",https://winnie.com/place/west-end-comm-sch-princeton-birmingham#daycare-program,,,https://winnie.com/place/west-end-comm-sch-princeton-birmingham#contact_form,,,Rising - West Princeton,4 yr - 11 yr
,307 19th St N,Winnie,winnie (3).csv,https://winnie.com/place/cathedral-day-care-center-birmingham,https://winnie-static.imgix.net/default/daycare_15.png?w=140&h=140&dpr=3&fit=crop&auto=compress%2Cformat,Cathedral Day Care Center,307 19th St N,"Birmingham, AL",maps_home_work,,,,"Cathedral Day Care Center is a licensed child care center offering daycare programs located at 307 19th St N in Central City in Birmingham, AL. Contact this provider to inquire about prices and...",https://winnie.com/place/cathedral-day-care-center-birmingham#daycare-program,,,https://winnie.com/place/cathedral-day-care-center-birmingham#contact_form,,,Central City,1 mo - 8 yr
